File	Lemma	Occurrences	Language	LemmaID	Source	Tags	Author	Title	Gender	Year	Decade	Description
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	parco	1	it	http://www.wikidata.org/entity/Q22698	wikidata	facility (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	area protetta o per ricreazione
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	modello	8	it	http://www.wikidata.org/entity/Q4610556	wikidata	profession	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	professione
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	scuola	11	it	custom_717	custom	public (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	scrittore	5	it	http://www.wikidata.org/entity/Q36180	wikidata	profession	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	chiunque crei un lavoro scritto
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	tempio	17	it	http://www.wikidata.org/entity/Q44539	wikidata	religious building (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	struttura architettonica utilizzata come luogo di culto
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	letterato	2	it	http://www.wikidata.org/entity/Q6673651	wikidata	profession	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	chi lavora in letteratura
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	attore	13	it	http://www.wikidata.org/entity/Q33999	wikidata	profession	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	persona che recita in commedie o opere drammatiche al cinema; alla televisione; al teatro o alla radio
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	comparsa	1	it	http://www.wikidata.org/entity/Q658371	wikidata	profession	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	lettore	51	it	http://www.wikidata.org/entity/Q1569495	wikidata	profession	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	posizione accademica di rango inferiore al professore
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	imperatore	10	it	http://www.wikidata.org/entity/Q39018	wikidata	noble rank	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	tipo di monarca
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	corte	166	it	custom_240	custom	civil building (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	abitazione	10	it	custom_164	custom	civil building (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	mercante	8	it	http://www.wikidata.org/entity/Q215536	wikidata	profession	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	persona che si occupa di acquistare e rivendere (ad un prezzo maggiore) un determinato bene o prodotto
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	guida	19	it	http://www.wikidata.org/entity/Q14290559	wikidata	profession	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	signore	244	it	http://www.wikidata.org/entity/Q57979877	wikidata	noble rank	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	Titolo di nobiltà italiana
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	soldato	83	it	http://www.wikidata.org/entity/Q4991371	wikidata	military rank	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	persona che si è arruolata nelle forze armate di un paese sovrano
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	osteria	32	it	custom_123	custom	commercial building (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	fondaco	1	it	custom_652	custom	public (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	bottega	1	it	custom_48	custom	commercial building (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	mercato	9	it	http://www.wikidata.org/entity/Q330284	wikidata	venue (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	luogo in cui le persone si riuniscono regolarmente per l'acquisto e la vendita di provviste; bestiame e altri beni
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	castellano	23	it	http://www.wikidata.org/entity/Q1505781	wikidata	profession	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	proprietario o custode di un castello
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	cantina	1	it	custom_317	custom	industrial (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	magazzino	3	it	http://www.wikidata.org/entity/Q181623	wikidata	commercial building (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	cavaliere	221	it	http://www.wikidata.org/entity/Q2730732	wikidata	profession	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	atleta che pratica lo sport dell'equitazione
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	romanziere	2	it	http://www.wikidata.org/entity/Q6625963	wikidata	profession	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	autore di romanzi e/o racconti
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	albergo	8	it	custom_32	custom	commercial building (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	pittore	8	it	http://www.sapere.it/enciclopedia/pitt%C3%B3re.html	sapere	profession	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	pittóre: sm. (f. -trice) [sec. XIV; latino pictor-ōris; da pingĕre; dipingere].
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	impresa	33	it	custom_97	custom	commercial building (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	stalla	8	it	custom_591	custom	rural building (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	casa	126	it	custom_184	custom	civil building (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	conte	72	it	http://www.wikidata.org/entity/Q3519259	wikidata	noble rank	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	titolo della nobiltà esistente nei paesi europei
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	mensa	6	it	custom_674	custom	public (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	stanza	19	it	http://www.wikidata.org/entity/Q180516	wikidata	facility (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	ambiente interno di un edificio; ad uso abitazione o ufficio
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	guardia	29	it	http://www.wikidata.org/entity/Q680928	wikidata	profession	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	nobile	19	it	http://www.wikidata.org/entity/Q3877594	wikidata	nobiliary particle	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	titolo nobiliare italiano
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	araldo	5	it	http://www.wikidata.org/entity/Q696819	wikidata	historical profession	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	ufficiale addetto a rendere pubblici gli atti e le disposizioni delle autorità civili e religiose
Torricelli-Giovanni-Battista_Oddantonio-Feltre_1860.txt	castello	47	it	http://www.wikidata.org/entity/Q23413	wikidata	fortification (place)	Torricelli Giovan Battista	Oddantonio Feltre	m	1860	1860_1869	complesso architettonico fortificato tipico del Medioevo
